drug_name,ndc,form,strength,mfg,acq,awp,dispensed,p_update,rxCUI,epc_class,drug_class
BP MONITOR   MIS ARM,98302-0148-13,DEVI,ARM,,0,196.73,0:00:00,03-28-23,1368170,"MEDICAL DEVICE, NOT A PHARMACEUTICAL PRODUCT (DEVI)","Medical Device, Not A Pharmaceutical Product (DEVI) (DEVI)"
DIHYDROERGOT SPR 4MG/ML,69097-0503-27,SOLN,4MG/ML,CIPLA USA,185,4112.26,08-30-21,07-07-21,861668,MIGRAINE TREATMENT (SOLN),Migraine Treatment (SOLN) (SOLN)
DIHYDROERGOT SPR 4MG/ML,69097-0503-27,SOLN,4MG/ML,CIPLA USA,185,4112.26,08-30-21,07-07-21,861668,MIGRAINE TREATMENT (SOLN),Migraine Treatment (SOLN) (SOLN)
DIHYDROERGOT SPR 4MG/ML,24201-0463-08,SOLN,4MG/ML,LEUCADIA P,215,4112.26,0:00:00,07-02-21,861668,MIGRAINE TREATMENT (SOLN),Migraine Treatment (SOLN) (SOLN)
DIHYDROERGOT SPR 4MG/ML,24201-0463-08,SOLN,4MG/ML,LEUCADIA P,215,4112.26,0:00:00,07-02-21,861668,MIGRAINE TREATMENT (SOLN),Migraine Treatment (SOLN) (SOLN)
MIGRANOW     PAK,59088-0083-00,THPK,,PURE TEK,700,3888.66,0:00:00,08-23-21,1484487,MIGRAINE TREATMENT (THPK),Migraine Treatment (THPK) (THPK)
EPICERAM     EMU,68040-0752-17,EMUL,,PRIMUS,6631.38,6980.4,0:00:00,06-14-22,18602,MOISTURIZER (EMUL),Moisturizer (EMUL) (EMUL)
EPICERAM     EMU,68040-0752-40,EMUL,,PRIMUS,6631.38,6980.4,0:00:00,06-14-22,1367265,MOISTURIZER (EMUL),Moisturizer (EMUL) (EMUL)
EPICERAM     EMU,68040-0752-40,EMUL,,PRIMUS,6631.38,6980.4,0:00:00,06-14-22,1367265,MOISTURIZER (EMUL),Moisturizer (EMUL) (EMUL)
BP 10-1      EMU,42192-0104-06,EMUL,,ACELLA PH,435,947.39,05-31-22,03-11-21,1000720,MOISTURIZER (EMUL),Moisturizer (EMUL) (EMUL)
EPICERAM     EMU,68040-0752-17,EMUL,,PRIMUS,6631.38,6980.4,0:00:00,06-14-22,18602,MOISTURIZER (EMUL),Moisturizer (EMUL) (EMUL)
REVIVASIL    KIT,73352-0540-01,KIT,,TRIFLUENT,1250,5994,0:00:00,07-03-24,330920,MOISTURIZER (KIT),Moisturizer (KIT) (KIT)
SILADERM     MIS,72275-0151-04,SHEE,,PRIMARY PH,0,4477.49,0:00:00,03-31-21,1125763,MOISTURIZER (SHEE),Moisturizer (SHEE) (SHEE)
SCARCINPAD   MIS,69420-8001-01,SHEE,,SA3  ,200.01,5726.44,0:00:00,06-01-21,2049642,MOISTURIZER (SHEE),Moisturizer (SHEE) (SHEE)
NUVAIL       SOL 16%,68712-0044-01,SOLN,16%,EPI HEALTH,0,473.34,0:00:00,01-10-24,1302114,MOISTURIZER (SOLN),Moisturizer (SOLN) (SOLN)
VENTIVA      DRO 0.7%,83035-8121-05,SOLN,0.70%,SINGULAR D,0,41.63,0:00:00,02-29-24,2667815,MOISTURIZER (SOLN),Moisturizer (SOLN) (SOLN)
DICLOFENAC   DIS 1.3%,55700-0801-30,PTCH,1.30%,QUALITY,134,447.56,0:00:00,05-27-21,855626,NSAID (PTCH),NSAID (PTCH) (PTCH)
DICLOFENAC   DIS 1.3%,59762-0707-02,PTCH,1.30%,GREENSTONE,133.65,402.8,0:00:00,03-12-21,855626,NSAID (PTCH),NSAID (PTCH) (PTCH)
DICLOFENAC   SOL 2%,70748-0335-01,SOLN,2%,LUPIN PHAR,100,2686.38,0:00:00,12-15-23,1487074,NSAID (SOLN),NSAID (SOLN) (SOLN)
DICLOFENAC   SOL 1.5%,70512-0025-05,SOLN,1.50%,SOLA PHARM,56,1460.25,0:00:00,03-22-21,857700,NSAID (SOLN),NSAID (SOLN) (SOLN)
DICLOFENAC   SOL 1.5%,52565-0002-05,SOLN,1.50%,TELIGENT,12.75,260.7,0:00:00,11-04-21,857700,NSAID (SOLN),NSAID (SOLN) (SOLN)
DULOXETINE   CAP 30MG,27241-0098-09,CPEP,30MG,AJANTA PHA,0,706.64,10-29-24,10-22-24,596930,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,68180-0294-03,CPEP,20MG,LUPIN PHRM,41.99,6998.33,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 30MG,68180-0295-03,CPEP,30MG,LUPIN PHRM,0,7851.51,11-14-24,11-18-24,596930,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,68180-0294-03,CPEP,20MG,LUPIN PHRM,41.99,6998.33,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 30MG,27241-0098-09,CPEP,30MG,AJANTA PHA,0,706.64,10-29-24,10-22-24,596930,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-90,CPEP,20MG,BRENCKRDG,4.4,604.65,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,27241-0097-06,CPEP,20MG,AJANTA PHA,2.23,419.9,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,68180-0294-03,CPEP,20MG,LUPIN PHRM,41.99,6998.33,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,27241-0097-06,CPEP,20MG,AJANTA PHA,2.23,419.9,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-90,CPEP,20MG,BRENCKRDG,4.4,604.65,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 30MG,68180-0295-03,CPEP,30MG,LUPIN PHRM,0,7851.51,11-14-24,11-18-24,596930,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,68180-0294-03,CPEP,20MG,LUPIN PHRM,41.99,6998.33,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-05,CPEP,20MG,BRENCKRDG,22.97,3359.16,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-90,CPEP,20MG,BRENCKRDG,4.4,604.65,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,27241-0097-06,CPEP,20MG,AJANTA PHA,2.23,419.9,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-05,CPEP,20MG,BRENCKRDG,22.97,3359.16,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-05,CPEP,20MG,BRENCKRDG,22.97,3359.16,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-90,CPEP,20MG,BRENCKRDG,4.4,604.65,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,51991-0746-05,CPEP,20MG,BRENCKRDG,22.97,3359.16,0:00:00,11-05-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
DULOXETINE   CAP 20MG,27241-0097-06,CPEP,20MG,AJANTA PHA,2.23,419.9,0:00:00,09-13-24,596926,NEUROPATHIC PAIN (CPEP),Neuropathic Pain (CPEP) (CPEP)
BOTOX        INJ 200UNIT,00023-3921-02,SOLR,200UNIT,ALLERGAN,1268,1550.4,0:00:00,07-06-24,897368,NEUROPATHIC PAIN (SOLR),Neuropathic Pain (SOLR) (SOLR)
SYNOFLEX     PAD 4-5%,70512-0015-15,PTCH,4-5%,SOLA PHARM,335,792.6,0:00:00,03-03-23,2600301,NON-STER ANTI-INFLAM (PTCH),Non-Ster Anti-Inflam (PTCH) (PTCH)
INFLAMMACIN  MIS 75-0.025,59088-0093-00,THPK,75-0.025,PURE TEK,0,3610,0:00:00,11-01-21,898723,NON-STER ANTI-INFLAM (THPK),Non-Ster Anti-Inflam (THPK) (THPK)
MYORISAN     CAP 10MG,61748-0301-13,CAPS,10MG,AKORN,33.38,540.5,03-06-23,09-15-22,1242611,Oral Medication,Oral Accutane (CAP)
ISOTRETINOIN CAP 30MG,69238-1017-03,CAPS,30MG,AMNEAL,44,616.94,11-19-24,08-29-24,403930,Oral Medication,Oral Accutane (CAP)
MYORISAN     CAP 30MG,61748-0303-13,CAPS,30MG,AKORN,68.7,370,03-10-23,04-26-22,1663728,Oral Medication,Oral Accutane (CAP)
AMNESTEEM    CAP 40MG,00378-6614-93,CAPS,40MG,MYLAN,47.95,744.86,11-21-24,08-29-24,404064,Oral Medication,Oral Accutane (CAP)
AMNESTEEM    CAP 20MG,00378-6612-93,CAPS,20MG,MYLAN,53,641.12,10-09-24,08-29-24,404061,Oral Medication,Oral Accutane (CAP)
ACCUTANE     CAP 20MG,72143-0232-30,CAPS,20MG,JG PHARMA,85,239.74,0:00:00,10-19-21,206883,Oral Medication,Oral Accutane (CAP)
MYORISAN     CAP 20MG,61748-0302-13,CAPS,20MG,AKORN,47.5,641.1,05-05-23,01-03-23,1242613,Oral Medication,Oral Accutane (CAP)
MYORISAN     CAP 40MG,61748-0304-13,CAPS,40MG,AKORN,47.99,744.5,03-21-23,09-15-22,1242615,Oral Medication,Oral Accutane (CAP)
ISOTRETINOIN CAP 40MG,69238-1176-03,CAPS,40MG,AMNEAL,49.99,847.43,05-30-23,03-22-23,197845,Oral Medication,Oral Accutane (CAP)
MELOXICAM    CAP 5MG,68180-0188-06,CAPS,5MG,LUPIN PHRM,172,931.56,11-21-24,10-16-24,1722349,Oral Medication,Oral Anti-Inflammatory (CAP)
MELOXICAM    CAP 5MG,70954-0076-10,CAPS,5MG,NOVITIUM P,335,931.56,0:00:00,07-02-21,1722349,Oral Medication,Oral Anti-Inflammatory (CAP)
OMEPRA/BICAR CAP 20-1100,55111-0363-30,CAPS,20-1100,DR.REDDY'S,7.88,3145.08,0:00:00,01-10-23,616539,Oral Medication,Oral Anti-Inflammatory (CAP)
DICLOFENAC   CAP 25MG,23155-0840-12,CAP,25mg,AVET PHARM,209.99,2123.13,10-22-24,10-31-24,858342,Oral Medication,Oral Anti-Inflammatory (CAP)
DICLOFENAC   CAP 25MG,59651-0353-08,CAPS,25MG,AUROBINDO,471.21,2011.16,08-26-24,08-29-24,858342,Oral Medication,Oral Anti-Inflammatory (CAP)
DICLOFENAC   CAP 25MG,00480-9435-89,CAPS,25MG,TEVA PHARM,359.99,2123.13,11-22-24,02-29-24,858342,Oral Medication,Oral Anti-Inflammatory (CAP)
MELOXICAM    TAB 15MG,69097-0159-07,TABS,15MG,CIPLA USA,0,484.44,02-23-24,10-25-23,152695,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
SULFASALAZIN TAB 500MG,59762-5000-06,TABS,500MG,GREENSTONE,42.65,69.8,0:00:00,03-09-24,198232,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
SULFASALAZIN TAB 500MG,59762-5000-06,TABS,500MG,GREENSTONE,42.65,69.8,0:00:00,03-09-24,198232,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
SULFASALAZIN TAB 500MG DR,59762-0104-06,TBEC,500MG DR,GREENSTONE,94.3,98,0:00:00,09-18-24,313142,Oral Medication,Oral Anti-Inflammatory (TAB)
RISEDRONATE  TAB 150MG,60505-3097-04,TABS,150MG,APOTEX,45.06,700.19,0:00:00,09-18-24,905028,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
RISEDRONATE  TAB 150MG,65862-0870-03,TABS,150MG,AUROBINDO,0,700.2,0:00:00,09-18-24,905028,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
RISEDRONATE  TAB 150MG,65862-0870-03,TABS,150MG,AUROBINDO,0,700.2,0:00:00,09-18-24,905028,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
RISEDRONATE  TAB 150MG,60505-3097-04,TABS,150MG,APOTEX,45.06,700.19,0:00:00,09-18-24,905028,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
PHYTONADIONE TAB 5MG,70710-1014-03,TABS,5MG,ZYDUS PHAR,449.99,2009.6,0:00:00,09-13-22,198102,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
PREDNISONE   TAB 20MG,00527-2934-37,TABS,20MG,LANNETT,4.22,25.9,07-11-22,04-01-22,312615,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
SULFASALAZIN TAB 500MG,00093-3234-05,TABS,500MG,TEVA USA,91,121.01,0:00:00,09-18-24,198232,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
PREDNISONE   TAB 20MG,59746-0175-06,TABS,20MG,CADISTA,5.99,150.14,06-15-23,05-19-23,312615,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
SULFASALAZIN TAB 500MG,00093-3234-05,TABS,500MG,TEVA USA,91,121.01,0:00:00,09-18-24,198232,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
PREDNISONE   TAB 20MG,60219-1708-05,TABS,20MG,AMNEAL,22.67,128.2,11-11-24,11-11-24,312615,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
MELOXICAM 15MG TAB,68382-0051-01,TAB,15MG,ZYDUS PHAR,1.3,484.49,07-24-24,08-29-24,152695,Oral Medication,Oral Anti-Inflammatory (TAB)
MELOXICAM    TAB 15MG,29300-0125-10,TABS,15MG,UNICHEM,12.55,4845,0:00:00,01-26-22,152695,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
LOFENA       TAB 25MG,15370-0180-60,TABS,25MG,CARWIN,450,2322.59,11-04-24,08-29-24,2584350,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
MELOXICAM    TAB 15MG,29300-0125-01,TABS,15MG,UNICHEM,1.62,484.5,0:00:00,08-29-24,152695,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
PREDNISONE   TAB 5MG,59746-0172-10,TABS,5MG,JUBILANT C,9.95,500.46,0:00:00,11-05-24,312617,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
MELOXICAM    TAB 15MG,16571-0777-50,TABS,15MG,RISING,5,2422.2,0:00:00,03-21-24,152695,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
PREDNISONE   TAB 5MG,00591-5052-01,TABS,5MG,ACTAVIS PH,2.29,22.61,08-10-21,04-30-21,312617,ANTI-INFLAMMATORY (TABS),Oral Anti-Inflammatory (TAB)
DOXYCYCL HYC CAP 100MG,69238-1100-05,CAPS,100MG,AMNEAL,49.99,4807.76,0:00:00,07-05-21,1649988,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 75MG,00713-0571-01,CAPS,75MG,COSETTE PH,185,1691.98,11-14-23,09-25-23,700408,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 75MG,00713-0571-01,CAPS,75MG,COSETTE PH,185,1691.98,11-14-23,09-25-23,700408,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 75MG,00713-0554-01,CAPS,75MG,COSETTE PH,199,1691.98,10-12-22,02-04-22,700408,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 75MG,00713-0554-01,CAPS,75MG,COSETTE PH,199,1691.98,10-12-22,02-04-22,700408,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYCL HYC CAP 100MG,00143-9803-50,CAPS,100MG,HIKMA,33.95,276.61,0:00:00,08-25-21,1649988,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYCL HYC CAP 100MG,53489-0119-05,CAPS,100MG,SUN PHARMA,31.25,3073.46,0:00:00,07-05-21,1649988,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYCL HYC CAP 100MG,62135-0985-05,CAPS,100MG,CHARTWELL,31.18,1640.99,0:00:00,08-24-21,1649988,Oral Antibiotic,Oral Antibiotic (CAP)
CEPHALEXIN   CAP 500MG,65862-0019-01,CAPS,500MG,AUROBINDO,11.99,133,11-23-24,01-25-22,309114,Oral Antibiotic,Oral Antibiotic (CAP)
TETRACYCLINE CAP 500MG,23155-0767-01,CAPS,500MG,AVET PHARM,46.78,1575,0:00:00,08-25-21,198252,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 75MG,57664-0852-88,CAPS,75MG,SUN PHARMA,12.99,197.96,0:00:00,10-19-21,314108,Oral Antibiotic,Oral Antibiotic (CAP)
MORGIDOX     CAP 1X100MG,43538-0600-30,CAPS,1X100MG,MEDIMETRIK,661.38,708.41,0:00:00,06-08-21,1101055,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 75MG,68382-0317-01,CAPS,75MG,ZYDUS PHAR,19.01,197.96,0:00:00,11-16-23,314108,Oral Antibiotic,Oral Antibiotic (CAP)
CEPHALEXIN   CAP 500MG,67877-0219-01,CAPS,500MG,ASCENDLABS,0,197.07,04-06-21,01-25-22,309114,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 100MG,13668-0484-50,CAPS,100MG,TORRENT PH,14.99,169.87,0:00:00,11-06-23,197984,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 100MG,13668-0484-05,CAPS,100MG,TORRENT PH,114.99,1664.75,0:00:00,06-11-24,197984,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 150MG,00115-1327-13,CAPS,150MG,AMNEAL,59.99,1479.01,12-10-21,05-20-21,728207,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYCL HYC CAP 100MG,00172-2985-48,CAPS,100MG,IVAX PHARM,1,70.21,06-24-21,06-24-21,1649988,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 100MG,63304-0616-50,CAPS,100MG,SUN PHARMA,6.5,118.4,0:00:00,04-26-21,1649990,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 50MG,68382-0782-01,CAPS,50MG,ZYDUS PHAR,7.16,145.1,11-20-24,08-29-24,1649401,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 75MG,00591-3153-01,CAPS,75MG,ACTAVIS PH,14,197.96,0:00:00,05-20-21,314108,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 100MG,57664-0853-85,CAPS,100MG,SUN PHARMA,12.46,169.87,07-18-24,08-20-21,197984,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 150MG,64380-0181-01,CAPS,150MG,STRIDES PH,125.98,1479.01,0:00:00,11-16-23,728207,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 75MG,51862-0041-01,CAPS,75MG,MAYNE PHAR,19.99,1691.98,02-01-22,12-10-21,700408,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 75MG,51862-0041-01,CAPS,75MG,MAYNE PHAR,19.99,1691.98,02-01-22,12-10-21,700408,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYC MONO CAP 50MG,00713-0570-01,CAPS,50MG,COSETTE PH,5.98,155.4,0:00:00,11-06-23,1649401,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYCL HYC CAP 100MG,27808-0233-02,CAPS,100MG,TRIS PHARM,27.95,3073.46,0:00:00,02-02-23,1649988,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 100MG,47781-0546-05,CAPS,100MG,ALVOGEN,84.99,1664.75,0:00:00,02-02-23,197984,Oral Antibiotic,Oral Antibiotic (CAP)
MINOCYCLINE  CAP 100MG,65862-0211-50,CAPS,100MG,AUROBINDO,11.26,169.87,11-19-24,08-29-24,197984,Oral Antibiotic,Oral Antibiotic (CAP)
DOXYCYCL HYC TAB 200MG DR,68308-0716-30,TBEC,200MG DR,MAYNE PHAR,0,1302.59,06-21-21,03-04-21,1423080,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYCLINE  TAB 75MG,27241-0153-02,TABS,75MG,AJANTA PHA,29.65,1871.64,0:00:00,11-16-23,1649425,ABX ORALS (TABS),Oral Antibiotic (TAB)
DORYX MPC    TAB 120MG,51862-0559-30,TBEC,120MG,MAYNE PHAR,427.5,450,0:00:00,09-13-22,1801140,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYC MONO TAB 75MG,23155-0134-01,TABS,75MG,AVET PHARM,10,498.92,11-22-24,10-16-24,1649429,ORAL ABX (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG,42192-0501-05,TABS,100MG,ACELLA PH,0,3073.46,0:00:00,10-02-24,1650143,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG DR,23155-0142-01,TBEC,100MG DR,AVET PHARM,135,1314.83,0:00:00,09-27-22,434018,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYC MONO TAB 150MG,23155-0136-03,TABS,150MG,AVET PHARM,10.89,274.18,07-15-24,06-03-24,1650444,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 150MG DR,68308-0715-10,TBEC,150MG DR,MAYNE PHAR,12,1759.94,0:00:00,03-22-21,799048,Oral Antibiotic,Oral Antibiotic (TAB)
DEMECLOCYCL  TAB 150MG,53746-0554-01,TABS,150MG,AMNEAL,349,940.12,0:00:00,07-22-24,905341,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 50MG,72143-0211-60,TABS,50MG,JG PHARMA,429,792,0:00:00,10-18-21,1652674,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG,62135-0626-50,TABS,100MG,CHARTWELL,3.65,307.35,03-16-21,03-16-21,1650143,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCLINE  TAB 75MG,51862-0695-06,TABS,75MG,MAYNE PHAR,49.99,1869.02,12-20-22,09-07-22,1649425,ABX ORALS (TABS),Oral Antibiotic (TAB)
TERBINAFINE  TAB 250MG,65862-0079-30,TABS,250MG,AUROBINDO,3.06,383.54,05-01-23,11-10-22,313222,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG,00143-2112-05,TABS,100MG,HIKMA,39.75,2766.11,0:00:00,01-06-22,1650143,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 200MG DR,23155-0611-06,TBEC,200MG DR,AVET PHARM,172.5,2605.18,0:00:00,11-05-24,1423080,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG,42806-0312-50,TABS,100MG,EPIC PHARM,4,307.35,09-30-24,11-06-23,1650143,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCLINE  TAB 150MG,60505-4384-06,TABS,150MG,APOTEX,55.93,1871.64,11-17-23,06-25-21,1650446,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYC MONO TAB 75MG,70710-1122-01,TABS,75MG,ZYDUS PHAR,12.74,498.92,0:00:00,09-09-23,1649429,ORAL ABX (TABS),Oral Antibiotic (TAB)
ISONIAZID    TAB 300MG,00555-0071-02,TABS,300MG,TEVA USA,25.49,30.95,0:00:00,08-22-23,197832,ANTIBIOTIC (TABS),Oral Antibiotic (TAB)
DOXYCYCLINE  TAB 75MG,60505-4382-06,TABS,75MG,APOTEX,78,1871.64,09-02-22,08-29-24,1649425,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 75MG DR,68308-0775-60,TBEC,75MG DR,MAYNE PHAR,18,613.45,0:00:00,03-22-21,406524,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG,62135-0626-05,TABS,100MG,CHARTWELL,38.99,3073.46,0:00:00,01-05-22,1650143,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYC MONO TAB 50MG,23155-0133-01,TABS,50MG,AVET PHARM,12,335.71,0:00:00,10-04-22,1652673,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCLINE  TAB 150MG,51862-0696-06,TABS,150MG,MAYNE PHAR,18.5,1869.02,05-04-22,02-11-22,1650446,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 50MG DR,51862-0709-12,TBEC,50MG DR,MAYNE PHAR,697,1407.19,0:00:00,04-22-21,1653433,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYC MONO TAB 100MG,00527-1338-25,TABS,100MG,LANNETT,19.99,1016.65,0:00:00,01-06-22,1650142,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG,42806-0312-05,TABS,100MG,EPIC PHARM,27.7,3073.46,11-22-24,09-18-24,1650143,ABX ORALS (TABS),Oral Antibiotic (TAB)
DEMECLOCYCL  TAB 300MG,42806-0144-48,TABS,300MG,EPIC PHARM,149,1638.48,11-22-24,07-15-24,905347,ABX ORALS (TABS),Oral Antibiotic (TAB)
MINOCYCLINE  TAB 75MG,55111-0638-01,TABS,75MG,DR.REDDY'S,65,639,0:00:00,05-20-21,403840,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYC MONO TAB 150MG,70710-1124-03,TABS,150MG,ZYDUS PHAR,14.75,274.18,11-21-24,11-17-23,1650444,ABX ORALS (TABS),Oral Antibiotic (TAB)
SMZ-TMP DS   TAB 800-160,57237-0233-01,TABS,800-160,RISING,3.77,140.22,0:00:00,01-04-24,198335,ABX ORALS (TABS),Oral Antibiotic (TAB)
TETRACYCLINE TAB 500MG,82644-0870-60,TABS,500MG,PHARMAKA G,1175,3000,0:00:00,02-27-24,313254,ABX ORALS (TABS),Oral Antibiotic (TAB)
TETRACYCLINE TAB 250MG,82644-0087-60,TABS,250MG,PHARMAKA G,1175,3000,0:00:00,02-27-24,313252,ABX ORALS (TABS),Oral Antibiotic (TAB)
TERBINAFINE  TAB 250MG,51991-0526-01,TABS,250MG,BRENCKRDG,9.63,1307.52,11-14-24,08-29-24,313222,ABX ORALS (TABS),Oral Antibiotic (TAB)
DOXYCYCL HYC TAB 100MG DR,68308-0710-10,TBEC,100MG DR,MAYNE PHAR,375,1312,0:00:00,04-06-21,434018,Oral Antibiotic,Oral Antibiotic (TAB)
DOXYCYCLINE  TAB 75MG,68180-0653-07,TABS,75MG,LUPIN PHRM,14.8,1871.64,11-16-24,11-01-22,1649425,ABX ORALS (TABS),Oral Antibiotic (TAB)
